code_experience,vectorisation,Selection,Reduction,classifieur,type,score,tn,fp,fn,tp,fpr,fnr,precision,rappel,specificite,erreur_model,k,n_components,kernel,n_estimators,k_neighbors,t_training,t_test,temps_entrainement,temps_test
tfidf_mic_ipca_kn,tfidf,mic,ipca,kn,I,0.64,106,5,66,20,0.045,0.767,0.8,0.233,0.955,71,2000,200,,0,5,138.188,0.07,0.003991459,0.000107416
tfidf_mic_lsa_kn,tfidf,mic,lsa,kn,I,0.64,104,7,64,22,0.063,0.744,0.759,0.256,0.937,71,2000,200,,0,5,137.797,0.056,0.003980165,0.000107112
tfidf_ki2_lsa_kn,tfidf,ki2,lsa,kn,I,0.645,106,5,65,21,0.045,0.756,0.808,0.244,0.955,70,2000,200,,0,5,6.336,0.062,0.000183011,4.92507E-06
tf_mic_nmf_lg,tf,mic,nmf,lg,I,0.645,66,45,25,61,0.405,0.291,0.575,0.709,0.595,70,2000,200,,0,0,530.253,0.275,0.015315969,0.000412174
tfidf_mic_nmf_kn,tfidf,mic,nmf,kn,I,0.655,73,38,30,56,0.342,0.349,0.596,0.651,0.658,68,2500,200,,0,3,608.985,0.22,0.017590085,0.000473373
tfidf_mic_nmf_lg,tfidf,mic,nmf,lg,I,0.655,45,66,2,84,0.595,0.023,0.56,0.977,0.405,68,2000,250,,0,0,353.352,0.266,0.010206313,0.000274666
tfidf_ki2_ipca_kn,tfidf,ki2,ipca,kn,I,0.675,108,3,61,25,0.027,0.709,0.893,0.291,0.973,64,2000,200,,0,5,4.959,0.066,0.000143237,3.85471E-06
tfidf_ki2_nmf_kn,tfidf,ki2,nmf,kn,I,0.675,81,30,34,52,0.27,0.395,0.634,0.605,0.73,64,2000,200,,0,5,461.366,0.127,0.013326219,0.000358627
ngram3_mic_nmf_kn,ngram3,mic,nmf,kn,I,0.68,88,23,40,46,0.207,0.465,0.667,0.535,0.793,63,2500,200,,0,3,1097.015,2.186,0.031686474,0.000852727
ngram3_mic_nmf_svm,ngram3,mic,nmf,svm,I,0.68,67,44,19,67,0.396,0.221,0.604,0.779,0.604,63,2500,250,linear,0,0,2473.181,6.401,0.071436019,0.001922442
tf_ki2_nmf_lg,tf,ki2,nmf,lg,I,0.711,71,40,17,69,0.36,0.198,0.633,0.802,0.64,57,2000,200,,0,0,351.618,0.26,0.010156228,0.000273318
tf_ki2_nmf_svm,tf,ki2,nmf,svm,I,0.711,70,41,16,70,0.369,0.186,0.631,0.814,0.631,57,2500,200,linear,0,0,1787.494,0.355,0.051630453,0.001389447
ngram3_mic_ipca_lg,ngram3,mic,ipca,lg,I,0.756,90,21,27,59,0.189,0.314,0.738,0.686,0.811,48,2000,200,,0,0,42.74,0.082,0.001234514,3.32225E-05
ngram3_ki2_nmf_svm,ngram3,ki2,nmf,svm,I,0.756,81,30,18,68,0.27,0.209,0.694,0.791,0.73,48,2000,200,linear,0,0,2050.858,3.884,0.059237529,0.001594164
ngram3_mic_ipca_svm,ngram3,mic,ipca,svm,I,0.766,75,36,10,76,0.324,0.116,0.679,0.884,0.676,46,2000,250,rbf,0,0,150.313,0.1,0.004341681,0.000116841
