code_experience;type;score;tn;fp;fn;tp;fpr;fnr;precision;rappel;specificite;erreur_model;k;n_components;kernel;n_estimators;n_neighbors;t_training;t_test
fusion_svm;O;0.898;102;9;11;75;0.081;0.128;0.893;0.872;0.919;20;2000;200;poly;0;0;6.297;0
fusion_kn;O;0.812;100;11;26;60;0.099;0.302;0.845;0.698;0.901;37;2000;200;;0;3;5.158;0
fusion_lg;O;0.792;91;20;21;65;0.18;0.244;0.765;0.756;0.82;41;2000;200;;0;0;3.763;0
fusion_rf;O;0.893;98;13;8;78;0.117;0.093;0.857;0.907;0.883;21;2000;200;;750;0;3.713;0
